number,questionId,question,type,required,section,subsection,isActive,options,placeholder,conditionalOn,_id,_creationTime
44,b2bDecisionTriggers,What are the key triggers that make your buyers take action?,multi-select,true,b2b,b2b-campaign,true,Cost savings (cost-savings) | Compliance pressure (compliance) | New technology (new-tech) | Speed to market (speed) | Quality improvement (quality) | After-sales support (support) | Other (other),,,k57eq9rfjd7nb3fhjtchgbjdps81c6v9,1771426538451.258
45,b2bProductsToPromote,Which specific products or services should we lead with in this campaign?,long-text,true,b2b,b2b-campaign,true,,Describe the products or services for this campaign...,,k57ctg7akggkk8sc55t3sa3cwn81dptt,1771426538451.2583
46,b2bMarketingMaterial,What marketing material do you have ready?,multi-select,false,b2b,b2b-campaign,true,Pitch deck (pitch-deck) | Brochures (brochures) | Videos (videos) | Case studies (case-studies) | White papers (white-papers) | Product demos (demos) | None yet (none),,,k57ayrbwajambdrjmrwt012tjn81cgp6,1771426538451.2585
47,b2bPreviousMethods,"What lead generation have you tried before, and what happened?",long-text,false,b2b,b2b-campaign,true,,,,k575hx9kgmervw1qsppzchmkth81cg6k,1771426538451.2588
48,b2bCompetitorStrengths,What are your competitors' strongest selling points that we'll need to counter?,long-text,false,b2b,b2b-campaign,true,,,,k57da7hznw8jtj4b03gsnx2rf181czpa,1771426538451.259
49,b2bCompliance,Any compliance or certification requirements we need to be aware of?,long-text,false,b2b,b2b-campaign,true,,,,k575qrx51db6sg4chjf7mymca581ch33,1771426538451.2593
50,b2bCrm,"What CRM system do you use today? (or ""none"")",text,true,b2b,b2b-tech,true,,"e.g. HubSpot, Salesforce, none",,k57cas06p3g9nkxeh7q7rgswd181dzch,1771426538451.2595
51,b2bReportingFormat,How do you want to receive reports?,single-select,true,b2b,b2b-tech,true,Google Sheets (google-sheets) | PDF (pdf) | CRM export (crm-export) | Excel (excel) | Other (other),,,k577nhfeg6y3b4ga0szzksr4vx81dm1p,1771426538451.2598
52,b2bAddons,Optional B2B add-ons you'd like included?,multi-select,false,b2b,b2b-tech,true,Extra leads beyond package (extra-leads) | CRM export setup (crm-setup) | Multilingual outreach scripts (multilingual) | AI-powered proposal generation (ai-proposals) | Custom branding package (custom-branding) | Multi-market expansion support (multi-market) | Other (other),,,k572krsa6yphkgbj4w2a1rt5dx81c59s,1771426538451.26
53,b2gMotivation,Why are you looking at public tenders now — what's driving this?,long-text,true,b2g,b2g-goals,true,,,,k57d387ebez8qn9y0ywqjpvryn81cs5x,1771426538451.2603
54,b2gPastExperience,Have you bid on government contracts before?,single-select,true,b2g,b2g-goals,true,"Yes, and we've won (won) | Yes, but we haven't won yet (lost) | We've never applied (never)",,,k57crdmtrhnxzppjgypm0eg6n981c08t,1771426538451.2605
55,b2gFailureReasons,"If you've lost bids before, what do you think went wrong?",long-text,false,b2g,b2g-goals,true,,,,k573mc6wxxa478h40c8732rnhn81d44a,1771426538451.2607
56,b2gSubmissionCapacity,How many tenders can your team realistically prepare and submit per month?,text,true,b2g,b2g-goals,true,,e.g. 3-5,,k572rs6wterc3fg84mqm3gjvyh81cta9,1771426538451.261
57,b2gPackage,Choose your B2G package,single-select,true,b2g,b2g-package,true,"GovStarter — £650/month (GovStarter) | GovExpand — £1,050/month (GovExpand) | GovElite — £1,650/month (GovElite) | Not sure yet — help me decide (UNDECIDED)",,,k577qkccfp2m9m9ptxy2mbf05x81c9wr,1771426538451.2612
58,b2gBudgetRange,What's your monthly budget range for this service?,text,false,b2g,b2g-package,true,,,,k57997vhhq0r4keawmhrvn26s181cktb,1771426538451.2615
59,b2gTargetRegions,Which regions are you targeting?,single-select,true,b2g,b2g-scope,true,UK only (UK) | EU only (EU) | Both UK & EU (UK+EU),,,k5775hnenwbp6mbaswpnz62yy581cp9g,1771426538451.2617
60,b2gTenderTypes,What types of contracts are you looking for?,multi-select,true,b2g,b2g-scope,true,RFP (Request for Proposal) (RFP) | RFQ (Request for Quotation) (RFQ) | Grants (Grants) | Frameworks (Frameworks) | Other (Other),,,k5729dmaaf6w5ajvkhbzh8aw8h81dh4e,1771426538451.262
61,b2gContractValue,What contract value range are you targeting?,single-select,true,b2g,b2g-scope,true,< £50K (<50K) | £50K–£150K (50K-150K) | £150K–£500K (150K-500K) | £500K–£1M (500K-1M) | £1M+ (1M+),,,k5704nkfgmj1thfq08gs4c6d6s81dzgw,1771426538451.2622
62,b2gSectorFocus,What sector or industry focus?,text,true,b2g,b2g-scope,true,,"e.g. Healthcare, Defence, IT...",,k577sy69e4kez7tsh68vtb662s81dszg,1771426538451.2625
63,b2gKeywords,Keywords we should use when searching for relevant tenders?,text,false,b2g,b2g-scope,true,,"e.g. software development, consulting...",,k57318f4632rbht0jnz3p2qcv181d7yw,1771426538451.2627
64,b2gCpvCodes,Relevant CPV codes (if you know them)?,text,false,b2g,b2g-scope,true,,e.g. 72000000-5,,k571r6gy2y27yacz9132fgn58h81dryf,1771426538451.263
65,b2gBidResources,What does your internal bid team look like? (team size & experience),long-text,false,b2g,b2g-compliance,true,,"Team size: 2
Experience: Intermediate",,k57c54meap61y9y2839f32yny581cv78,1771426538451.2632
66,b2gExperienceLevel,Experience level?,single-select,true,b2g,b2g-compliance,true,No experience (none) | Beginner (1–3 bids submitted) (beginner) | Intermediate (4–10 bids submitted) (intermediate) | Experienced (10+ bids submitted) (experienced),,,k574kfhyrchtbwfsfpf0e2drxh81dnny,1771426538451.2634
67,b2gBidCompliance,Which compliance requirements apply to you?,multi-select,false,b2g,b2g-compliance,true,ISO certification (iso) | GDPR compliance (gdpr) | Insurance levels (insurance) | Security clearance (security) | Financial thresholds (financial) | None yet (none) | Other (other),,,k5737gxww4zxjm0s3qm23s9xrd81cv7w,1771426538451.2637
68,b2gConsortium,Are you open to consortium partnerships to qualify for larger contracts?,single-select,true,b2g,b2g-compliance,true,Yes (yes) | No (no) | Open to it — tell me more (maybe),,,k5724m39h3gy6v7qhsn8bx5cq981dbk6,1771426538451.264
69,b2gTranslation,Do you need translation support for bids?,single-select,true,b2g,b2g-compliance,true,Yes (yes) | No (no),,,k576xzbp947rezce438q5e8ky581ce02,1771426538451.2642
70,b2gEvaluationCriteria,What matters most in how contracts are evaluated?,multi-select,true,b2g,b2g-strategy,true,Price (price) | Quality (quality) | Innovation (innovation) | Sustainability (sustainability) | Local content (local) | Relevant experience (experience) | Other (other),,,k57fc6998tc88mafetcfcw541d81dam3,1771426538451.2644
71,b2gGrantInterest,Are you interested in grant funding opportunities as well?,single-select,false,b2g,b2g-strategy,true,Yes (yes) | No (no),,,k5792rjfh8a3aacqhwb4epqt9d81db9f,1771426538451.2646
72,b2gReportingFrequency,Preferred reporting frequency?,single-select,true,b2g,b2g-strategy,true,Weekly (weekly) | Bi-weekly (bi-weekly) | Monthly (monthly),,,k572n4jcf19tr2cn06yjdsc9qx81cyz4,1771426538451.265
73,b2gAddons,Optional B2G add-ons?,multi-select,false,b2g,b2g-strategy,true,Grant writing (grant-writing) | Pitch deck creation (pitch-deck) | Translation services (translation) | Consortium matching (consortium) | Other (other),,,k57ear8fvt32vf566hq9an3d2s81d8yw,1771426538451.2651
74,adamWorkflowDescription,Walk us through what your client onboarding or operational workflow looks like today — step by step if possible.,long-text,true,adam,adam-automate,true,,,,k5707mt0vm70tmjew8fkjq9rsh81d5k9,1771426538451.2654
75,adamBreakdownPoints,Where does it break down or slow you down the most?,multi-select,true,adam,adam-automate,true,Too much manual data entry (manual-entry) | Slow follow-up and communication gaps (follow-up) | Errors and inaccuracies (errors) | No visibility into where clients are in the process (no-visibility) | Team coordination issues (coordination) | All of the above (all) | Other (other),,,k57dvd95twbafy3x67etp7bc6s81d1e4,1771426538451.2656
76,adamNewClientsPerMonth,How many new clients do you onboard per month on average?,text,true,adam,adam-automate,true,,,,k57btbm4zx1w7bfxrpk4597ar981ct6z,1771426538451.2659
77,adamTeamMembers,How many team members will use this system?,text,true,adam,adam-automate,true,,e.g. 3,,k5755aap029npy7pr524e65mj981d90g,1771426538451.266
78,adamProcessCost,"What does a broken or slow process cost you today? (in time, revenue, or client satisfaction)",long-text,false,adam,adam-automate,true,,,,k5700vh1h3ggmcym6pdvhg394s81cba5,1771426538451.2664
79,adamPackage,Choose your A.D.A.M. package,single-select,true,adam,adam-package,true,"Starter — Basic features, single user (Starter) | Professional — Full features, team access (Professional) | Enterprise — Custom deployment, priority support (Enterprise) | Not sure yet — help me decide (UNDECIDED)",,,k575rc0ehvbtqkphdszv7184js81cnc8,1771426538451.2666
80,adamBranding,Do you need custom branding on the system?,single-select,true,adam,adam-package,true,Yes (yes) | No (no),,,k57414y9c788ch1gnr0c8fb1ns81dmpf,1771426538451.2668
81,adamBudgetRange,What's your budget range for this?,text,false,adam,adam-package,true,,,,k57e08snk8p5bek7dchd88p1n981dbzf,1771426538451.267
82,adamCompanyName,Full legal company name and registration number?,text,true,adam,adam-config,true,,,,k57f22s5v89g7w244vjnb0ga3h81d6nk,1771426538451.2673
83,adamWebsite,Company website (we'll use it to pull branding and copy)?,url,true,adam,adam-config,true,,https://example.com,,k57a6v4rsawtb79annbkjxjsgn81cx3v,1771426538451.2676
84,adamIndustry,Primary industry and target client type?,text,true,adam,adam-config,true,,,,k573rw1bj92v89nh2sbkq3nd0s81cvv6,1771426538451.2678
85,adamServicesCount,How many different services or products do you offer?,text,true,adam,adam-config,true,,,,k576ca2s0bnn0dfaeq1hyqxgtx81dkfd,1771426538451.268
86,adamCustomTemplates,Do you need custom contract templates built into the system?,single-select,true,adam,adam-config,true,Yes (yes) | No (no),,,k5754hmb8srqnsawxh9p5xc33181c4ye,1771426538451.2683
87,adamIntegrations,What tools or systems do you need A.D.A.M. to connect with?,multi-select,false,adam,adam-config,true,CRM (crm) | Email platform (email) | WhatsApp / messaging (messaging) | Payment processing (payments) | Accounting software (accounting) | Other (other),,,k57b7e3z8b6y73j794xmegxeed81cba1,1771426538451.2686
88,adamAiMode,What AI mode do you prefer?,single-select,true,adam,adam-config,true,Free AI (built-in) (free) | OpenAI (premium) (openai) | Custom / hybrid (custom),,,k5717zjkyfdy149zj7jw0g0xwd81d986,1771426538451.2688
89,adamConfigAddons,Additional add-ons you'd like?,multi-select,false,adam,adam-config,true,Extra document templates (extra-templates) | AI outreach scripts (ai-outreach) | Other (other),,,k570bfcrrabk41kt3r9xgw6b4x81c7a9,1771426538451.269
90,adamLaunchDeadline,When do you need this live?,single-select,true,adam,adam-future,true,Urgent (< 2 weeks) (urgent) | Standard (2–4 weeks) (standard) | Flexible (1–2 months) (flexible) | No hard deadline (no-rush),,,k573km6e5jy6v68jk19sdjh8z181d3r4,1771426538451.2693
91,adamFutureUpgrades,What are you thinking about for the future?,multi-select,false,adam,adam-future,true,E.V.A. AI agent integration (eva) | SaaS licensing to your own clients (saas) | Custom modules (custom) | Other (other),,,k57dd3ghzh9weckwdgfp3mjg5x81dgss,1771426538451.2695
92,proposalBudget,What budget have you set aside for this engagement? (a range is fine),text,true,proposal-readiness,proposal,true,,,,k57cf9w3c0ft34r91fp3s961rn81cnrj,1771426538451.2698
93,proposalBudgetApproval,"Is this budget already approved, or does it need sign-off?",single-select,true,proposal-readiness,proposal,true,Approved and ready (approved) | Needs internal sign-off (needs-signoff) | Budget isn't confirmed yet (unconfirmed),,,k579nf0qdggtnj2qc92p5w9vrh81c2fd,1771426538451.27
94,proposalSignoffTimeline,What is the timeline for internal sign-off?,text,false,proposal-readiness,proposal,true,,,if proposalBudgetApproval = needs-signoff,k574rpk1bymdakne502hbhe1vh81dm2g,1771426538451.2703
95,proposalPartnerCriteria,What would make you choose one partner over another at this stage?,long-text,false,proposal-readiness,proposal,true,,,,k576x94dsar9j8f69wbbwwph3x81d2xe,1771426538451.2705
96,proposalBlockers,Is there anything that would stop this from moving forward even if the proposal is right?,long-text,false,proposal-readiness,proposal,true,,,,k574r0hkr310yskjdqt009mccx81dc80,1771426538451.2708
97,proposalAdditionalContext,Any other context you think we should know before we build your proposal?,long-text,false,proposal-readiness,proposal,true,,,,k574a1ad0kk2nqncj7xfz34w2n81cjdw,1771426538451.271
98,attachments,"Upload any supporting documents (pitch decks, brochures, brand guidelines, contracts, process diagrams, etc.)",file,false,attachments,uploads,true,,,,k578ygmvr0z22shrn0d0khcj1981d8k0,1771426538451.2712
